,Word,POS,Spoken,Written
1,a,determiner,1,1
2,abandon,v,0,3
3,ability,n,2,1
4,able,adj,1,1
5,about,prep,1,1
6,about,adv,1,1
7,above,adv,2,1
8,above,adj,0,3
9,abroad,adv,2,3
10,absence,n,3,2
11,absolute,adj,2,3
12,absolutely,adv,1,3
13,absorb,v,0,3
14,abuse,n,2,3
15,academic,adj,0,2
16,accept,v,1,1
17,acceptable,adj,3,3
18,access,n,2,1
19,accident,n,2,2
20,accommodation,n,2,2
21,accompany,v,0,2
22,according to,prep,2,1
23,account,n,1,1
24,account,v,3,2
25,accurate,adj,2,3
26,accuse,v,0,3
27,achieve,v,2,1
28,achievement,n,3,2
29,acid,n,0,3
30,acknowledge,v,3,3
31,acquire,v,0,2
32,across,adv,1,1
33,act,n,1,1
34,act,v,2,1
35,action,n,1,1
36,active,adj,2,2
37,activist,n,3,0
38,activity,n,2,1
39,actor,n,0,3
40,actual,adj,1,2
41,actually,adv,1,1
42,ad,n,3,3
43,adapt,v,0,3
44,add,v,1,1
45,addition,n,3,1
46,additional,adj,3,2
47,address,n,2,2
48,address,v,2,2
49,adequate,adj,3,3
50,adjust,v,0,3
51,administration,n,2,2
52,administrative,adj,0,3
53,admire,v,3,0
54,admission,n,0,3
55,admit,v,2,1
56,adopt,v,3,2
57,adult,n,2,2
58,adult,adj,0,3
59,advance,n,2,2
60,advance,v,0,3
61,advanced,adj,0,3
62,advantage,n,2,1
63,advert,n,3,0
64,advertise,v,3,3
65,advertisement,n,3,0
66,advertising,n,0,3
67,advice,n,2,2
68,advise,v,2,2
69,adviser,n,3,3
70,affair,n,2,1
71,affect,v,2,1
72,afford,v,1,3
73,afraid,adj,1,2
74,after,prep,1,1
75,afternoon,n,1,2
76,afterwards,adv,2,3
77,again,adv,1,1
78,against,prep,1,1
79,age,n,1,1
80,aged,adj,0,3
81,agency,n,3,1
82,agent,n,3,2
83,aggressive,adj,3,0
84,ago,adv,1,1
85,agree,v,1,1
86,agreement,n,2,1
87,agriculture,n,0,2
88,ahead,adv,1,2
89,aid,n,2,2
90,aim,n,2,2
91,aim,v,2,2
92,air,n,1,1
93,aircraft,n,2,2
94,airline,n,2,3
95,airport,n,3,3
96,alarm,n,2,0
97,album,n,3,3
98,alcohol,n,0,3
99,alive,adj,2,3
100,all,determiner,1,1
101,all,adv,1,1
102,allow,v,1,1
103,allowance,n,2,3
104,all right,adj,1,2
105,almost,adv,1,1
106,alone,adj,2,1
107,along,adv,1,1
108,along,prep,1,1
109,alongside,adv,0,3
110,already,adv,1,1
111,also,adv,1,1
112,alter,v,3,3
113,alternative,adj,2,2
114,alternative,n,2,3
115,although,conjunction,1,1
116,altogether,adv,2,3
117,always,adv,1,1
118,amazing,adj,2,0
119,ambition,n,0,3
120,ambulance,n,3,0
121,among,prep,2,1
122,amount,n,1,1
123,an,determiner,1,1
124,analyse,v,0,3
125,analysis,n,3,1
126,analyst,n,0,2
127,ancient,adj,0,2
128,and,conjunction,1,1
129,anger,n,0,3
130,angle,n,3,3
131,angry,adj,3,3
132,animal,n,1,1
133,announce,v,2,1
134,announcement,n,3,3
135,annoy,v,3,0
136,annual,adj,2,2
137,another,determiner,1,1
138,answer,n,1,1
139,answer,v,1,2
140,anticipate,v,3,0
141,anxiety,n,3,3
142,anxious,adj,3,3
143,any,determiner,1,1
144,any,adv,2,0
145,anybody,pron,1,3
146,anyhow,adv,3,0
147,anyone,pron,1,1
148,anything,pron,1,1
149,anyway,adv,1,2
150,anywhere,adv,1,3
151,apart,adv,2,1
152,apartment,n,2,3
153,apologize,v,2,0
154,apology,n,3,0
155,apparent,adj,0,2
156,apparently,adv,1,2
157,appeal,n,2,1
158,appeal,v,3,3
159,appear,v,2,1
160,appearance,n,0,2
161,apple,n,2,3
162,application,n,1,1
163,apply,v,1,1
164,appoint,v,2,2
165,appointment,n,2,2
166,appreciate,v,2,3
167,approach,v,2,2
168,approach,n,2,1
169,appropriate,adj,2,1
170,approval,n,2,3
171,approve,v,3,2
172,approximate,adj,3,3
173,architect,n,0,3
174,architecture,n,3,3
175,area,n,1,1
176,argue,v,2,1
177,argument,n,1,1
178,arise,v,3,2
179,arm,n,1,1
180,armed,adj,3,3
181,army,n,1,1
182,around,adv,1,1
183,arrange,v,2,2
184,arrangement,n,2,2
185,arrest,v,0,3
186,arrival,n,0,3
187,arrive,v,2,1
188,art,n,1,1
189,article,n,2,1
190,artificial,adj,3,0
191,artist,n,3,2
192,as,prep,1,1
193,as,conjunction,1,1
194,ashamed,adj,3,0
195,aside,adv,3,3
196,ask,v,1,1
197,asleep,adj,2,0
198,aspect,n,2,1
199,assess,v,2,2
200,assessment,n,3,2
201,assignment,n,2,0
202,assist,v,3,3
203,assistance,n,3,2
204,assistant,n,3,0
205,associate,v,3,2
206,association,n,3,1
207,assume,v,2,1
208,assumption,n,2,2
209,assure,v,2,3
210,at,prep,1,1
211,atmosphere,n,3,2
212,attach,v,2,2
213,attack,n,2,2
214,attack,v,3,2
215,attempt,n,2,1
216,attempt,v,2,2
217,attend,v,2,2
218,attention,n,2,1
219,attitude,n,2,1
220,attorney,n,2,3
221,attract,v,2,2
222,attraction,n,0,3
223,attractive,adj,2,2
224,audience,n,2,2
225,aunt,n,3,3
226,author,n,0,2
227,authority,n,0,1
228,automatic,adj,3,0
229,automatically,adv,3,3
230,autumn,n,0,3
231,available,adj,1,1
232,average,adj,2,2
233,average,n,2,0
234,avoid,v,2,1
235,awake,adj,3,0
236,award,n,3,2
237,award,v,0,3
238,aware,adj,1,1
239,awareness,n,0,3
240,away,adv,1,1
241,awful,adj,1,0
242,awkward,adj,3,0
243,baby,n,1,1
244,back,adv,1,1
245,back,n,1,1
246,back,v,2,3
247,back,adj,2,3
248,background,n,2,2
249,backwards,adv,3,0
250,bacon,n,3,0
251,bad,adj,1,1
252,badly,adv,3,3
253,bag,n,1,2
254,bake,v,3,0
255,balance,n,2,2
256,balance,v,3,0
257,ball,n,1,2
258,ban,n,0,3
259,band,n,2,2
260,bang,n,3,0
261,bang,v,3,0
262,bank,n,1,1
263,bar,n,1,1
264,barrier,n,0,3
265,base,v,1,1
266,base,n,2,2
267,baseball,n,3,2
268,basic,adj,2,1
269,basically,adv,1,0
270,basis,n,2,1
271,basket,n,3,0
272,bat,n,3,0
273,bath,n,2,3
274,bathroom,n,2,3
275,battery,n,2,0
276,battle,n,0,2
277,be,auxv,1,1
278,be,v,1,1
279,beach,n,2,2
280,bean,n,2,0
281,bear,v,2,2
282,beard,n,3,0
283,beat,v,2,2
284,beat,n,3,0
285,beautiful,adj,1,2
286,beauty,n,3,2
287,because,conjunction,1,1
288,because,prep,1,1
289,become,v,1,1
290,bed,n,1,1
291,bedroom,n,1,2
292,beef,n,3,0
293,beer,n,2,3
294,before,conjunction,1,1
295,before,prep,1,1
296,before,adv,1,1
297,beforehand,adv,3,0
298,begin,v,1,1
299,beginning,n,1,2
300,behalf,n,3,3
301,behave,v,3,3
302,behaviour,n,2,1
303,behind,prep,1,1
304,being,n,2,3
305,belief,n,3,2
306,believe,v,1,1
307,bell,n,2,3
308,belong,v,2,2
309,below,adv,2,2
310,belt,n,2,3
311,bench,n,2,3
312,bend,v,3,3
313,beneath,adv,0,2
314,benefit,n,2,1
315,benefit,v,2,3
316,beside,prep,3,2
317,best,adj,1,1
318,best,adv,1,2
319,bet,v,1,0
320,bet,n,3,0
321,better,adj,1,1
322,better,adv,1,1
323,between,adv,1,1
324,beyond,prep,2,1
325,bicycle,n,0,3
326,bid,n,0,3
327,big,adj,1,1
328,bike,n,2,0
329,bill,n,1,1
330,bin,n,2,0
331,bird,n,2,2
332,birth,n,2,2
333,birthday,n,1,3
334,biscuit,n,2,0
335,bit,adv,1,1
336,bit,n,1,1
337,bite,v,2,0
338,bite,n,3,0
339,bitter,adj,3,3
340,black,adj,1,1
341,blade,n,3,0
342,blame,v,2,3
343,blank,adj,3,0
344,bless,v,3,0
345,blind,adj,2,3
346,block,n,2,2
347,block,v,3,0
348,bloke,n,2,0
349,blonde,adj,3,0
350,blood,n,2,1
351,blow,v,2,3
352,blow,n,3,3
353,blue,adj,1,2
354,board,n,1,1
355,boat,n,1,2
356,body,n,1,1
357,boil,v,3,0
358,boiler,n,3,0
359,boiling,adj,3,0
360,bomb,n,3,3
361,bone,n,2,2
362,bonus,n,2,0
363,book,n,1,1
364,book,v,2,0
365,boom,n,3,0
366,boot,n,2,3
367,border,n,3,2
368,bored,adj,3,0
369,boring,adj,2,0
370,born,v,1,2
371,borrow,v,2,3
372,boss,n,2,3
373,both,determiner,1,1
374,bother,v,1,3
375,bottle,n,1,2
376,bottom,n,1,3
377,bottom,adj,1,3
378,bounce,v,3,0
379,bound,adj,2,3
380,bowl,n,2,3
381,box,n,1,1
382,boy,n,1,1
383,boyfriend,n,3,0
384,brain,n,2,2
385,branch,n,2,2
386,brave,adj,3,0
387,bread,n,2,3
388,break,v,1,1
389,break,n,2,2
390,breakfast,n,2,2
391,breast,n,3,0
392,breath,n,3,2
393,breathe,v,3,3
394,brick,n,2,3
395,bridge,n,2,2
396,brief,adj,2,2
397,briefly,adv,2,3
398,bright,adj,2,2
399,brilliant,adj,2,3
400,bring,v,1,1
401,broad,adj,2,2
402,brother,n,1,1
403,brown,adj,2,2
404,brush,n,3,0
405,brush,v,3,0
406,buck,n,1,0
407,bucket,n,2,0
408,buddy,n,3,0
409,budget,n,1,2
410,bug,n,3,0
411,build,v,1,1
412,builder,n,3,0
413,building,n,1,1
414,bump,v,3,0
415,bunch,n,2,0
416,burn,v,2,3
417,burn,n,3,0
418,burst,v,0,3
419,bury,v,0,3
420,bus,n,1,2
421,business,n,1,1
422,busy,adj,1,2
423,but,conjunction,1,1
424,but,prep,2,3
425,but,adv,2,3
426,butcher,n,3,0
427,butter,n,2,0
428,button,n,2,0
429,buy,v,1,1
430,buyer,n,3,3
431,by,prep,1,1
432,by,adv,1,1
433,bye,interjection,1,0
434,bye,n,3,0
435,cabinet,n,2,2
436,cable,n,0,3
437,cake,n,2,3
438,calculate,v,2,3
439,calculation,n,2,0
440,calculator,n,3,0
441,calendar,n,3,0
442,call,v,1,1
443,call,n,1,1
444,calm,adj,3,3
445,camera,n,2,3
446,camp,n,3,3
447,campaign,n,2,1
448,can,modv,1,1
449,can,n,2,0
450,cancel,v,2,0
451,cancer,n,2,2
452,candidate,n,0,2
453,candle,n,3,0
454,candy,n,3,0
455,cap,n,3,0
456,capable,adj,2,2
457,capacity,n,3,2
458,capital,n,3,1
459,capital,adj,2,3
460,captain,n,0,3
461,capture,v,0,3
