a,1,1
abandon,0,3
ability,2,1
able,1,1
about,1,1
about,1,1
above,2,1
above,0,3
abroad,2,3
absence,3,2
absolute,2,3
absolutely,1,3
absorb,0,3
abuse,2,3
academic,0,2
accept,1,1
acceptable,3,3
access,2,1
accident,2,2
accommodation,2,2
accompany,0,2
according to,2,1
account,1,1
account,3,2
accurate,2,3
accuse,0,3
achieve,2,1
achievement,3,2
acid,0,3
acknowledge,3,3
acquire,0,2
across,1,1
act,1,1
act,2,1
action,1,1
active,2,2
activist,3,0
activity,2,1
actor,0,3
actual,1,2
actually,1,1
ad,3,3
adapt,0,3
add,1,1
addition,3,1
additional,3,2
address,2,2
address,2,2
adequate,3,3
adjust,0,3
administration,2,2
administrative,0,3
admire,3,0
admission,0,3
admit,2,1
adopt,3,2
adult,2,2
adult,0,3
advance,2,2
advance,0,3
advanced,0,3
advantage,2,1
advert,3,0
advertise,3,3
advertisement,3,0
advertising,0,3
advice,2,2
advise,2,2
adviser,3,3
affair,2,1
affect,2,1
afford,1,3
afraid,1,2
after,1,1
afternoon,1,2
afterwards,2,3
again,1,1
against,1,1
age,1,1
aged,0,3
agency,3,1
agent,3,2
aggressive,3,0
ago,1,1
agree,1,1
agreement,2,1
agriculture,0,2
ahead,1,2
aid,2,2
aim,2,2
aim,2,2
air,1,1
aircraft,2,2
airline,2,3
airport,3,3
alarm,2,0
album,3,3
alcohol,0,3
alive,2,3
all,1,1
all,1,1
allow,1,1
allowance,2,3
all right,1,2
almost,1,1
alone,2,1
along,1,1
along,1,1
alongside,0,3
already,1,1
also,1,1
alter,3,3
alternative,2,2
alternative,2,3
although,1,1
altogether,2,3
always,1,1
amazing,2,0
ambition,0,3
ambulance,3,0
among,2,1
amount,1,1
an,1,1
analyse,0,3
analysis,3,1
analyst,0,2
ancient,0,2
and,1,1
anger,0,3
angle,3,3
angry,3,3
animal,1,1
announce,2,1
announcement,3,3
annoy,3,0
annual,2,2
another,1,1
answer,1,1
answer,1,2
anticipate,3,0
anxiety,3,3
anxious,3,3
any,1,1
any,2,0
anybody,1,3
anyhow,3,0
anyone,1,1
anything,1,1
anyway,1,2
anywhere,1,3
apart,2,1
apartment,2,3
apologize,2,0
apology,3,0
apparent,0,2
apparently,1,2
appeal,2,1
appeal,3,3
appear,2,1
appearance,0,2
apple,2,3
application,1,1
apply,1,1
appoint,2,2
appointment,2,2
appreciate,2,3
approach,2,2
approach,2,1
appropriate,2,1
approval,2,3
approve,3,2
approximate,3,3
architect,0,3
architecture,3,3
area,1,1
argue,2,1
argument,1,1
